,step,ms_reward,ms_phase,ms_policy,mn_reward,mn_phase,mn_policy,pg_reward,pg_phase,pg_policy,hn_reward,hn_phase,hn_policy,dz_reward,dz_phase,dz_policy
0,300,71,1,[0.4245875  0.57541245],15,1,[0.59871143 0.40128854],12,1,[0.6250449  0.37495512],14,1,[0.24782148 0.57610214 0.17607632],6,1,[0.25491    0.21619347 0.31920686 0.2096897 ]
1,305,79,1,[0.3113791 0.6886209],24,1,[0.4417897 0.5582103],27,1,[0.64989734 0.35010275],28,1,[0.21086988 0.65275496 0.13637519],11,1,[0.26087353 0.2592002  0.28054178 0.1993845 ]
2,310,82,1,[0.37629783 0.62370217],30,1,[0.3662734  0.63372666],36,1,[0.58602405 0.41397592],35,1,[0.22076139 0.64825195 0.13098665],19,1,[0.27613816 0.23313315 0.13098377 0.35974497]
3,315,82,1,[0.29862714 0.70137286],33,1,[0.4087393 0.5912607],44,1,[0.6591779 0.3408221],46,1,[0.18169795 0.7264074  0.09189463],29,1,[0.19256169 0.2938004  0.16868602 0.3449519 ]
4,320,82,1,[0.39333302 0.606667  ],35,1,[0.34100753 0.65899247],57,1,[0.60082746 0.39917257],60,1,[0.18553936 0.7135971  0.10086358],41,1,[0.20818876 0.34227178 0.16367458 0.28586495]
5,325,89,1,[0.3938115 0.6061885],40,1,[0.37158906 0.6284109 ],72,1,[0.5669485  0.43305153],67,1,[0.26010662 0.62661237 0.113281  ],50,1,[0.20491798 0.3081835  0.16749302 0.31940556]
6,330,92,1,[0.52295834 0.47704172],45,1,[0.398079   0.60192096],83,1,[0.51052547 0.48947453],73,1,[0.27190197 0.5777643  0.15033373],58,1,[0.19324286 0.30386147 0.15950425 0.3433915 ]
7,335,99,1,[0.55544657 0.44455346],54,1,[0.4823281 0.5176719],94,1,[0.54704565 0.45295438],85,1,[0.19537225 0.65742254 0.14720522],63,1,[0.18086454 0.26424518 0.13907447 0.4158158 ]
8,340,105,1,[0.537119 0.462881],58,1,[0.5199107  0.48008928],102,1,[0.7103046  0.28969535],97,1,[0.22347407 0.6771319  0.099394  ],69,1,[0.17932864 0.29293317 0.19737744 0.3303607 ]
9,345,111,1,[0.5341944 0.4658055],68,1,[0.37009332 0.6299068 ],111,1,[0.73486906 0.26513094],108,1,[0.26437354 0.62454844 0.11107801],75,1,[0.24261478 0.24121179 0.20018966 0.31598377]
10,350,110,1,[0.6684124 0.3315876],70,1,[0.3558479  0.64415216],119,1,[0.47768968 0.5223103 ],112,1,[0.2633375  0.58654016 0.1501223 ],86,1,[0.32344905 0.21514706 0.15044807 0.3109559 ]
11,355,110,1,[0.5522889 0.4477111],78,1,[0.38611418 0.6138858 ],127,1,[0.46244493 0.53755516],119,1,[0.27645615 0.59592664 0.12761721],93,1,[0.29424205 0.22454743 0.18658072 0.29462978]
12,360,112,1,[0.42889574 0.57110417],88,1,[0.34587583 0.65412414],133,1,[0.47405598 0.52594405],127,1,[0.31875673 0.4584627  0.22278062],101,1,[0.28441614 0.23229794 0.21685652 0.26642942]
13,365,116,1,[0.6390638  0.36093622],97,1,[0.323906   0.67609394],143,1,[0.4229182  0.57708174],129,1,[0.2451113  0.5232224  0.23166631],107,1,[0.28710288 0.19140527 0.23690891 0.2845829 ]
14,370,121,1,[0.6698827  0.33011723],105,1,[0.2776861 0.7223139],151,1,[0.6900777 0.3099223],138,1,[0.2268432  0.56844896 0.20470785],114,1,[0.25258666 0.21777576 0.2343427  0.29529485]
15,375,123,1,[0.6276012  0.37239885],111,1,[0.20889041 0.79110956],156,1,[0.554905 0.445095],145,1,[0.21119651 0.6018385  0.18696493],119,1,[0.25122273 0.23615353 0.24442418 0.26819962]
16,380,124,1,[0.615051   0.38494906],115,1,[0.17953983 0.8204602 ],159,1,[0.6711068  0.32889318],156,1,[0.3240756  0.5852329  0.09069151],122,1,[0.2071856  0.27457204 0.22320688 0.29503548]
17,385,127,1,[0.6473066  0.35269335],123,1,[0.17712887 0.8228711 ],168,1,[0.6281165  0.37188354],163,1,[0.24881029 0.59744054 0.15374917],128,1,[0.26557037 0.21773127 0.21752565 0.29917267]
18,390,129,1,[0.5360752  0.46392485],125,1,[0.10948588 0.8905141 ],172,1,[0.6245357  0.37546435],164,1,[0.28876954 0.57961583 0.13161461],56,1,[0.2680496  0.2370031  0.19718748 0.2977598 ]
19,395,140,2,[0.55200726 0.44799274],134,2,[0.09532473 0.9046753 ],181,2,[0.43958658 0.5604134 ],162,2,[0.39775118 0.5143375  0.08791137],60,4,[0.2670443  0.339585   0.14190003 0.2514706 ]
