,step,ms_reward,ms_phase,ms_policy,mn_reward,mn_phase,mn_policy,pg_reward,pg_phase,pg_policy,hn_reward,hn_phase,hn_policy,dz_reward,dz_phase,dz_policy
20,400,147,2,[0.5478584  0.45214158],136,2,[0.34083804 0.6591619 ],183,2,[0.5295574  0.47044253],164,2,[0.24642384 0.66445553 0.08912067],59,4,[0.18370207 0.2555302  0.19272864 0.3680392 ]
21,405,155,2,[0.54765713 0.45234287],135,2,[0.4961932 0.5038069],183,2,[0.66520894 0.3347911 ],164,2,[0.29314953 0.5382328  0.16861767],63,4,[0.1973801  0.2306377  0.16773117 0.40425107]
22,410,158,2,[0.60536325 0.39463672],135,2,[0.56239706 0.4376029 ],183,2,[0.6513318  0.34866825],163,2,[0.40678996 0.34373394 0.24947605],63,4,[0.1767605  0.30068395 0.13408914 0.38846648]
23,415,111,1,[0.6381804  0.36181965],16,1,[0.60461336 0.39538658],16,1,[0.62621313 0.3737869 ],4,1,[0.30058262 0.35152975 0.34788764],-23,1,[0.2375224  0.2797471  0.10721616 0.37551445]
24,420,123,1,[0.65033865 0.34966126],27,1,[0.5106994  0.48930064],24,1,[0.63073736 0.36926264],14,1,[0.36800086 0.36558756 0.26641154],-15,1,[0.26190397 0.2145377  0.12121801 0.40234035]
25,425,130,1,[0.5513318 0.4486682],33,1,[0.3649116 0.6350884],27,1,[0.40642017 0.59357977],24,1,[0.44306055 0.33419365 0.22274584],-9,1,[0.23227383 0.2059456  0.14215216 0.41962838]
26,430,136,1,[0.49444824 0.50555176],36,1,[0.37972564 0.62027436],33,1,[0.54044026 0.4595597 ],36,1,[0.45940855 0.38042015 0.16017127],0,1,[0.24967074 0.22840236 0.15608543 0.36584145]
27,435,141,1,[0.48637158 0.5136284 ],39,1,[0.46689722 0.5331028 ],39,1,[0.49021572 0.50978434],43,1,[0.5057985  0.34990337 0.14429809],8,1,[0.31679344 0.2601365  0.1483739  0.2746962 ]
28,440,143,1,[0.47089362 0.5291064 ],42,1,[0.33362162 0.6663784 ],46,1,[0.5738933  0.42610666],50,1,[0.52485    0.3372139  0.13793615],16,1,[0.32264277 0.22783798 0.13928743 0.31023186]
29,445,144,1,[0.501969   0.49803108],51,1,[0.40098608 0.5990139 ],52,1,[0.45924282 0.5407572 ],54,1,[0.5303271  0.32784855 0.14182441],23,1,[0.31756437 0.28031358 0.1363816  0.26574048]
30,450,152,1,[0.49600828 0.5039917 ],59,1,[0.39593035 0.60406965],59,1,[0.44762906 0.55237097],60,1,[0.48123083 0.3697958  0.14897336],31,1,[0.32919052 0.29763475 0.12740912 0.24576557]
31,455,161,1,[0.5311083  0.46889168],63,1,[0.39217022 0.6078298 ],66,1,[0.40877184 0.5912282 ],68,1,[0.3804479  0.36663014 0.25292197],32,1,[0.5334761  0.17262623 0.12138157 0.17251606]
32,460,163,1,[0.5123733  0.48762673],71,1,[0.27955988 0.7204401 ],75,1,[0.4708407  0.52915925],72,1,[0.3587321  0.36198598 0.27928194],36,1,[0.5817826  0.12203132 0.10012806 0.19605795]
33,465,161,1,[0.5051777 0.4948223],76,1,[0.28816602 0.711834  ],83,1,[0.5168976  0.48310244],77,1,[0.36847243 0.35947892 0.2720486 ],39,1,[0.6399692  0.11495848 0.1079054  0.13716683]
34,470,162,1,[0.5024755  0.49752456],78,1,[0.21744967 0.78255033],87,1,[0.44427088 0.5557291 ],82,1,[0.45985022 0.33503252 0.20511726],43,1,[0.50159425 0.12058705 0.14897779 0.22884086]
35,475,164,1,[0.49718848 0.50281155],83,1,[0.23628874 0.7637113 ],94,1,[0.5215086  0.47849146],91,1,[0.32365966 0.38891232 0.287428  ],47,1,[0.5420581  0.10722326 0.09493928 0.2557794 ]
36,480,169,1,[0.5789246  0.42107546],90,1,[0.24231036 0.75768965],101,1,[0.61197484 0.38802525],95,1,[0.30127597 0.53540003 0.16332391],50,1,[0.5410828  0.11111224 0.1088127  0.23899224]
37,485,170,1,[0.57516414 0.4248359 ],98,1,[0.20335542 0.7966445 ],109,1,[0.5854019  0.41459805],96,1,[0.49903798 0.39028823 0.11067376],61,1,[0.5021954  0.10187636 0.1201323  0.275796  ]
38,490,175,1,[0.55307555 0.44692445],101,1,[0.19467646 0.8053236 ],117,1,[0.6273348  0.37266526],103,1,[0.37371713 0.51317453 0.11310833],65,1,[0.5684622  0.1419053  0.11765406 0.17197852]
39,495,180,1,[0.5483463  0.45165372],106,1,[0.15097645 0.8490235 ],120,1,[0.6363123  0.36368775],114,1,[0.3539578  0.4727823  0.17325988],69,1,[0.48136935 0.14084743 0.13678941 0.24099386]
40,500,183,1,[0.49487156 0.5051285 ],113,1,[0.13442272 0.8655773 ],127,1,[0.6234617  0.37653825],123,1,[0.34790942 0.4636778  0.18841277],73,1,[0.40634337 0.15609446 0.14631104 0.29125112]
41,505,185,1,[0.4817841 0.5182159],117,1,[0.14028597 0.85971403],131,1,[0.5505813  0.44941875],125,1,[0.4719452  0.42528823 0.10276654],79,1,[0.40514508 0.19560295 0.19578585 0.20346609]
42,510,185,1,[0.44319898 0.556801  ],117,1,[0.15714774 0.8428523 ],133,1,[0.5993523  0.40064773],127,1,[0.4442337  0.47416764 0.08159868],4,1,[0.419384   0.17095874 0.1384157  0.27124155]
43,515,198,2,[0.46302906 0.5369709 ],123,2,[0.15039027 0.84960973],141,2,[0.45226675 0.54773325],123,2,[0.41676605 0.45162436 0.13160957],8,4,[0.33142933 0.23303522 0.11607465 0.31946072]
44,520,206,2,[0.46866864 0.5313314 ],124,2,[0.51151204 0.488488  ],143,2,[0.5349632 0.4650368],124,2,[0.44212997 0.3945513  0.1633187 ],10,4,[0.37827593 0.13788208 0.12382483 0.36001706]
45,525,213,2,[0.5010497  0.49895033],123,2,[0.5598226  0.44017744],145,2,[0.53611845 0.46388158],123,2,[0.2752136 0.4895798 0.2352066],10,4,[0.32704163 0.17724521 0.10675845 0.38895464]
46,530,218,2,[0.48277962 0.5172204 ],123,2,[0.5749415  0.42505845],146,2,[0.6819401  0.31805986],122,2,[0.23582399 0.49520692 0.26896912],13,4,[0.3153189  0.17725217 0.11243828 0.3949906 ]
47,535,224,2,[0.44247675 0.5575232 ],122,2,[0.55301213 0.4469879 ],146,2,[0.74918145 0.25081855],120,2,[0.2742588  0.45546126 0.2702799 ],14,4,[0.31905252 0.17661643 0.10876199 0.39556912]
48,540,228,2,[0.5822276  0.41777238],121,2,[0.49179733 0.5082027 ],145,2,[0.7035646  0.29643542],119,2,[0.25277278 0.5120488  0.2351785 ],13,4,[0.3157332  0.17619884 0.11062878 0.39743915]
49,545,233,2,[0.55528367 0.44471627],121,2,[0.4823009 0.5176991],146,2,[0.68455464 0.31544533],118,2,[0.28692433 0.5055583  0.2075174 ],11,4,[0.31101236 0.17219429 0.10963371 0.40715966]
50,550,233,2,[0.5599369 0.4400631],120,2,[0.45086965 0.5491303 ],145,2,[0.68615    0.31384996],117,2,[0.26483464 0.52468556 0.2104798 ],8,4,[0.3059378  0.17737819 0.11277109 0.40391296]
51,555,173,1,[0.600043 0.399957],15,1,[0.4735474 0.5264526],21,1,[0.681981   0.31801897],-13,1,[0.26683062 0.502003   0.2311664 ],-61,1,[0.33254096 0.1289725  0.11240511 0.4260814 ]
52,560,183,1,[0.59263045 0.40736952],27,1,[0.28229702 0.7177029 ],28,1,[0.66518384 0.33481613],-3,1,[0.38372573 0.4115681  0.20470622],-59,1,[0.34325498 0.12194819 0.10679963 0.4279972 ]
53,565,191,1,[0.5323935  0.46760648],36,1,[0.23768221 0.7623178 ],32,1,[0.6769708  0.32302925],2,1,[0.407199   0.40068188 0.19211914],-53,1,[0.4397158  0.11767745 0.1356083  0.3069984 ]
54,570,193,1,[0.5314228  0.46857718],43,1,[0.22710834 0.77289164],38,1,[0.7326999 0.2673002],12,1,[0.42258546 0.4018674  0.17554715],-38,1,[0.4102388  0.13632636 0.09938833 0.35404655]
55,575,192,1,[0.43933806 0.560662  ],47,1,[0.26701766 0.7329824 ],40,1,[0.6244569  0.37554306],20,1,[0.33988148 0.42713296 0.23298547],-28,1,[0.37257692 0.1498957  0.10565289 0.37187454]
56,580,194,1,[0.4170435  0.58295643],53,1,[0.2565352 0.7434648],45,1,[0.5205054  0.47949454],25,1,[0.4050033  0.40758088 0.18741578],-18,1,[0.42546883 0.16601385 0.09884927 0.30966812]
57,585,196,1,[0.51811093 0.4818891 ],60,1,[0.2972766 0.7027234],48,1,[0.39576453 0.6042355 ],30,1,[0.4196468  0.39667848 0.18367475],-6,1,[0.41898552 0.17359275 0.09427255 0.31314918]
58,590,204,1,[0.6104156 0.3895844],65,1,[0.29836038 0.7016396 ],54,1,[0.335639 0.664361],35,1,[0.40448353 0.38666198 0.20885448],-1,1,[0.4144679  0.14256075 0.0903976  0.35257378]
59,595,207,1,[0.5495995  0.45040047],70,1,[0.32363862 0.6763614 ],60,1,[0.34658784 0.6534121 ],39,1,[0.3903489  0.3950592  0.21459188],9,1,[0.42381448 0.15647268 0.08501206 0.33470082]
60,600,210,1,[0.5943899  0.40561014],81,1,[0.23512514 0.76487494],66,1,[0.39774692 0.60225314],49,1,[0.31727937 0.51502323 0.16769749],14,1,[0.4711816  0.14234413 0.07929379 0.3071805 ]
61,605,211,1,[0.5611388  0.43886116],85,1,[0.29974493 0.70025504],79,1,[0.37994453 0.62005544],59,1,[0.29558375 0.5226708  0.18174547],16,1,[0.42122054 0.1528758  0.0871993  0.33870432]
62,610,211,1,[0.41101635 0.58898365],87,1,[0.32316464 0.67683536],89,1,[0.42838925 0.5716108 ],67,1,[0.2979878  0.51408994 0.18792227],23,1,[0.503031   0.14923707 0.07091805 0.2768139 ]
63,615,213,1,[0.5459905  0.45400947],91,1,[0.31809297 0.681907  ],100,1,[0.51357716 0.4864229 ],76,1,[0.32469106 0.5626349  0.11267404],30,1,[0.50332445 0.14800102 0.07195803 0.27671644]
64,620,214,1,[0.59546465 0.40453535],94,1,[0.31939524 0.68060476],111,1,[0.5132424  0.48675755],87,1,[0.30616903 0.5391618  0.1546692 ],34,1,[0.4588193  0.15517676 0.08690049 0.2991035 ]
65,625,215,1,[0.55498254 0.44501743],95,1,[0.32256982 0.6774302 ],124,1,[0.5222501  0.47774985],98,1,[0.34603658 0.53054637 0.12341697],41,1,[0.45647088 0.15963735 0.08915947 0.2947324 ]
66,630,217,1,[0.6090981  0.39090192],99,1,[0.32259336 0.6774066 ],131,1,[0.48947644 0.5105235 ],109,1,[0.37004945 0.4639338  0.16601677],50,1,[0.44741863 0.15761393 0.09284306 0.30212444]
67,635,222,1,[0.59427756 0.40572244],105,1,[0.33467844 0.6653215 ],142,1,[0.46082848 0.5391716 ],119,1,[0.32970905 0.519132   0.15115893],57,1,[0.4384789  0.16710162 0.09098972 0.30342978]
68,640,222,1,[0.60139185 0.39860818],111,1,[0.26122147 0.73877853],155,1,[0.39761874 0.6023812 ],131,1,[0.40890104 0.3799879  0.21111113],66,1,[0.4181648  0.17084007 0.1027518  0.3082434 ]
69,645,220,1,[0.5717538  0.42824626],111,1,[0.20000398 0.799996  ],159,1,[0.36100557 0.63899446],132,1,[0.38691148 0.43071124 0.18237731],-18,1,[0.48258522 0.18548481 0.11377408 0.21815588]
70,650,211,2,[0.61507726 0.3849227 ],120,2,[0.24623652 0.7537635 ],161,2,[0.4801985 0.5198015],128,2,[0.46006095 0.37962988 0.1603091 ],-18,4,[0.49881038 0.16217619 0.08887551 0.25013795]
71,655,216,2,[0.5132177  0.48678228],120,2,[0.41069746 0.58930254],163,2,[0.5621225  0.43787754],128,2,[0.44866142 0.4064294  0.14490922],-15,4,[0.35062572 0.14868286 0.10257734 0.39811406]
72,660,223,2,[0.54371065 0.45628932],120,2,[0.4566595 0.5433405],165,2,[0.5640275 0.4359725],127,2,[0.3745791  0.4797289  0.14569198],-12,4,[0.3468206  0.15113048 0.1025247  0.3995242 ]
73,665,227,2,[0.6525103 0.3474897],120,2,[0.43352035 0.5664796 ],165,2,[0.6158303  0.38416973],125,2,[0.26551166 0.5454083  0.18908001],-15,4,[0.3542292  0.13669875 0.10731214 0.40175986]
74,670,233,2,[0.7306755  0.26932442],119,2,[0.44073525 0.5592648 ],165,2,[0.5358065  0.46419352],124,2,[0.2401186  0.58476007 0.17512128],-17,4,[0.34086126 0.14984863 0.10639684 0.40289325]
75,675,237,2,[0.7113175 0.2886826],118,2,[0.47279733 0.5272027 ],164,2,[0.55435467 0.44564533],123,2,[0.29637387 0.45421892 0.24940719],-20,4,[0.35270298 0.14033774 0.10689456 0.4000647 ]
76,680,240,2,[0.64258456 0.35741544],118,2,[0.4939727 0.5060273],164,2,[0.5547096  0.44529042],122,2,[0.28380072 0.47265744 0.2435418 ],-22,4,[0.3528475  0.14065142 0.10856684 0.39793432]
77,685,240,2,[0.7393597 0.2606403],117,2,[0.49985382 0.50014615],163,2,[0.52228373 0.47771633],120,2,[0.29353666 0.4930353  0.213428  ],-25,4,[0.354389   0.14133236 0.11231013 0.3919685 ]
78,690,195,1,[0.6555934 0.3444066],14,1,[0.48407307 0.5159269 ],20,1,[0.5159793  0.48402062],-32,1,[0.30814204 0.48917103 0.20268692],-94,1,[0.35518548 0.14328536 0.10847176 0.39305744]
79,695,205,1,[0.42171752 0.57828254],26,1,[0.379517   0.62048304],29,1,[0.49124768 0.5087523 ],-20,1,[0.43987146 0.3728729  0.18725565],-90,1,[0.36452928 0.12901337 0.10179392 0.40466347]
80,700,208,1,[0.52087253 0.47912744],41,1,[0.26750654 0.7324935 ],36,1,[0.36681634 0.63318366],-8,1,[0.4238251  0.39621955 0.17995541],-88,1,[0.4295354  0.11100855 0.11085246 0.34860355]
81,705,208,1,[0.4653049 0.5346951],56,1,[0.24677627 0.7532238 ],42,1,[0.54816645 0.4518335 ],0,1,[0.4913251  0.34328085 0.165394  ],-73,1,[0.4688436  0.0817483  0.13064584 0.31876227]
82,710,209,1,[0.29082903 0.70917094],65,1,[0.22654228 0.7734577 ],49,1,[0.5598375 0.4401624],11,1,[0.41571143 0.39981383 0.18447465],-57,1,[0.4274944  0.14051943 0.09695724 0.335029  ]
83,715,208,1,[0.3037358 0.6962642],69,1,[0.25589144 0.74410856],53,1,[0.5380172  0.46198282],17,1,[0.43532625 0.39122912 0.17344457],-48,1,[0.49585527 0.1161611  0.13976105 0.24822257]
84,720,209,1,[0.47438076 0.52561927],74,1,[0.26245934 0.7375407 ],56,1,[0.37737015 0.6226298 ],20,1,[0.37773123 0.4502098  0.17205903],-38,1,[0.4908402  0.12685116 0.1430034  0.2393053 ]
85,725,211,1,[0.51384115 0.4861588 ],84,1,[0.3479962 0.6520038],67,1,[0.3424419 0.6575581],22,1,[0.37204593 0.5137107  0.11424334],-23,1,[0.4629169  0.1256441  0.11675197 0.294687  ]
86,730,217,1,[0.55612284 0.44387713],88,1,[0.30734432 0.69265574],75,1,[0.29686135 0.70313865],25,1,[0.34073576 0.4598345  0.19942974],-19,1,[0.47846052 0.14104773 0.08533084 0.2951609 ]
87,735,224,1,[0.54999506 0.4500049 ],94,1,[0.37141716 0.62858284],81,1,[0.2560916 0.7439084],36,1,[0.30040908 0.44375712 0.25583375],-18,1,[0.47691447 0.14344567 0.08693507 0.2927048 ]
88,740,233,1,[0.51650286 0.48349708],102,1,[0.45893747 0.5410625 ],87,1,[0.27481025 0.72518975],48,1,[0.25464812 0.4133146  0.33203727],-16,1,[0.43787953 0.1365499  0.08955668 0.3360139 ]
89,745,238,1,[0.5581847  0.44181526],106,1,[0.38100788 0.6189921 ],96,1,[0.2586183 0.7413817],59,1,[0.28476077 0.4201708  0.29506838],-11,1,[0.46197772 0.1357406  0.10539825 0.2968835 ]
90,750,243,1,[0.5764744  0.42352557],108,1,[0.32972616 0.67027384],105,1,[0.30686677 0.69313323],67,1,[0.34569594 0.47858134 0.1757227 ],-4,1,[0.4407061  0.12314967 0.11879909 0.31734514]
91,755,248,1,[0.5603415  0.43965852],111,1,[0.3760474 0.6239526],110,1,[0.35179752 0.6482024 ],77,1,[0.35364717 0.47556457 0.17078829],4,1,[0.44287598 0.1192506  0.13022773 0.30764574]
92,760,248,1,[0.43737587 0.56262416],114,1,[0.37647572 0.62352425],122,1,[0.38182855 0.61817145],89,1,[0.34439322 0.48008132 0.17552541],16,1,[0.46592346 0.12452839 0.10110714 0.30844098]
93,765,250,1,[0.5641636 0.4358364],118,1,[0.36414933 0.6358506 ],132,1,[0.33732498 0.662675  ],96,1,[0.33182785 0.47586623 0.19230594],27,1,[0.47450984 0.12400527 0.07659126 0.32489362]
94,770,252,1,[0.5329265  0.46707353],118,1,[0.31893793 0.6810621 ],146,1,[0.29466146 0.70533854],103,1,[0.33242276 0.43057683 0.23700035],41,1,[0.50588685 0.12993231 0.06550914 0.29867166]
95,775,255,1,[0.5113249 0.4886751],122,1,[0.14638916 0.8536109 ],157,1,[0.25649032 0.7435097 ],115,1,[0.28899363 0.42818716 0.28281918],50,1,[0.48427474 0.14649375 0.08084234 0.28838918]
96,780,257,1,[0.46212795 0.537872  ],123,1,[0.17046002 0.8295399 ],158,1,[0.24645688 0.75354314],119,1,[0.2530708  0.37151897 0.3754102 ],-39,1,[0.51124465 0.16998294 0.09923936 0.219533  ]
97,785,249,2,[0.5465927  0.45340726],132,2,[0.27285692 0.7271431 ],161,2,[0.26435217 0.7356478 ],178,3,[0.25809956 0.37030464 0.37159577],-36,4,[0.4839482  0.17922929 0.08872771 0.24809481]
98,790,255,2,[0.48512667 0.5148733 ],134,2,[0.50649107 0.493509  ],164,2,[0.32130304 0.67869693],181,3,[0.29359916 0.43158534 0.27481547],-39,4,[0.42456183 0.14540328 0.10104968 0.32898524]
99,795,261,2,[0.5364167  0.46358332],134,2,[0.4491318 0.5508682],165,2,[0.32317892 0.67682105],183,3,[0.27632138 0.42602584 0.29765275],-41,4,[0.39314476 0.15951534 0.10303641 0.34430355]
100,800,263,2,[0.53821415 0.46178585],134,2,[0.4986019 0.501398 ],166,2,[0.5483205  0.45167953],184,3,[0.15934189 0.58487654 0.2557815 ],-44,4,[0.31449422 0.15757875 0.10817131 0.4197557 ]
101,805,269,2,[0.5888271 0.411173 ],133,2,[0.48211846 0.51788145],165,2,[0.59294176 0.4070582 ],181,2,[0.14714755 0.6493699  0.20348257],-46,4,[0.29643396 0.14663163 0.13233227 0.42460218]
102,810,276,2,[0.6038007  0.39619935],132,2,[0.5129523  0.48704764],165,2,[0.5587675 0.4412325],180,2,[0.13625169 0.6363252  0.22742312],-48,4,[0.2841327  0.14540796 0.15517436 0.41528493]
103,815,280,2,[0.54317135 0.45682862],132,2,[0.5174123 0.4825877],165,2,[0.4993048 0.5006952],179,2,[0.12880184 0.56440866 0.30678958],-49,4,[0.28192604 0.14733505 0.15999171 0.4107472 ]
104,820,280,2,[0.48223525 0.51776475],131,2,[0.4885569 0.511443 ],164,2,[0.523889   0.47611097],177,2,[0.11807639 0.5817311  0.30019253],-46,4,[0.2818438  0.14705744 0.16195469 0.409144  ]
105,825,233,1,[0.38582164 0.61417836],16,1,[0.47384375 0.5261562 ],19,1,[0.5615073  0.43849272],20,1,[0.11604861 0.5874534  0.29649803],-129,1,[0.27921662 0.14977418 0.15996107 0.41104805]
106,830,241,1,[0.23068255 0.76931745],30,1,[0.37339714 0.6266028 ],30,1,[0.4860114 0.5139886],32,1,[0.13859282 0.594407   0.26700014],-123,1,[0.3125807  0.1425352  0.14495754 0.39992657]
107,835,242,1,[0.44264066 0.55735934],44,1,[0.42339504 0.576605  ],39,1,[0.3540024 0.6459977],41,1,[0.1643739  0.52417654 0.3114495 ],-117,1,[0.44812578 0.137132   0.12953961 0.28520262]
108,840,241,1,[0.32032543 0.6796746 ],56,1,[0.4957684 0.5042316],46,1,[0.4699401  0.53005993],54,1,[0.1603724 0.4544415 0.3851861],-111,1,[0.39492425 0.166835   0.14201841 0.2962224 ]
109,845,242,1,[0.33302426 0.66697574],65,1,[0.55031395 0.4496861 ],55,1,[0.48425007 0.5157499 ],66,1,[0.28681594 0.4884669  0.22471716],-97,1,[0.398176   0.13490511 0.1584227  0.30849624]
110,850,242,1,[0.26999605 0.73000395],69,1,[0.4795566  0.52044344],62,1,[0.50550884 0.4944912 ],74,1,[0.32634735 0.4723263  0.20132627],-80,1,[0.46112245 0.09723556 0.12693165 0.31471032]
111,855,245,1,[0.41845202 0.581548  ],76,1,[0.4251391 0.5748609],69,1,[0.43855512 0.5614448 ],79,1,[0.38834253 0.4094272  0.20223023],-69,1,[0.47454125 0.09895199 0.11553712 0.31096968]
112,860,249,1,[0.50582826 0.49417174],91,1,[0.41039863 0.5896014 ],80,1,[0.41272503 0.5872749 ],84,1,[0.41927922 0.36611903 0.21460173],-54,1,[0.4911456  0.08742031 0.11851105 0.302923  ]
113,865,255,1,[0.48794827 0.51205176],100,1,[0.3712538 0.6287463],87,1,[0.30495876 0.6950412 ],89,1,[0.3994672  0.34161684 0.25891602],-46,1,[0.4656021  0.09661218 0.12586078 0.31192484]
114,870,264,1,[0.53295594 0.46704412],109,1,[0.48780894 0.51219106],98,1,[0.22599775 0.77400225],99,1,[0.45642948 0.35617575 0.18739484],-41,1,[0.5134313  0.10337048 0.13082825 0.25236985]
115,875,269,1,[0.58395016 0.41604978],117,1,[0.46222186 0.5377781 ],110,1,[0.23225842 0.7677415 ],109,1,[0.32902777 0.46994567 0.20102656],-35,1,[0.49945992 0.13037907 0.10872132 0.26143974]
116,880,274,1,[0.6335996  0.36640045],123,1,[0.48591465 0.5140854 ],124,1,[0.24257942 0.7574206 ],119,1,[0.39645267 0.42954895 0.1739984 ],-28,1,[0.5402635  0.12340891 0.11010661 0.22622108]
117,885,276,1,[0.61708856 0.38291144],130,1,[0.39636168 0.60363835],133,1,[0.3726494 0.6273506],133,1,[0.2511649  0.5327537  0.21608138],-21,1,[0.5369363  0.12283229 0.1079779  0.23225348]
118,890,283,1,[0.591387   0.40861303],139,1,[0.3421705 0.6578294],143,1,[0.5163243  0.48367575],144,1,[0.25666338 0.50153047 0.24180612],-19,1,[0.5153703  0.10754609 0.12140527 0.25567833]
119,895,286,1,[0.6043926  0.39560744],143,1,[0.37756172 0.62243825],154,1,[0.53758156 0.46241847],154,1,[0.29789117 0.50029457 0.2018143 ],-5,1,[0.44069827 0.11290105 0.17401807 0.2723826 ]
120,900,290,1,[0.5731163  0.42688376],147,1,[0.30258733 0.69741267],165,1,[0.43521073 0.56478924],163,1,[0.26248705 0.5251195  0.21239348],7,1,[0.51051134 0.10254607 0.14043917 0.2465035 ]
121,905,295,1,[0.550013   0.44998696],154,1,[0.15208715 0.84791285],175,1,[0.3790568 0.6209431],174,1,[0.39693093 0.3785433  0.2245258 ],16,1,[0.54056346 0.1042399  0.16977145 0.18542507]
122,910,298,1,[0.42879283 0.57120717],159,1,[0.14651912 0.85348094],182,1,[0.24975036 0.7502496 ],185,1,[0.36742032 0.43407455 0.19850509],29,1,[0.5861745  0.12287298 0.12831934 0.16263328]
123,915,297,1,[0.42274126 0.5772587 ],161,1,[0.13640918 0.86359084],183,1,[0.22458187 0.7754181 ],187,1,[0.3020516  0.45288435 0.24506402],-66,1,[0.5517433  0.13821085 0.14469145 0.16535442]
